"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth","source_file","n","T","configuration"
"pl","bam_fd","classic",0.959480000000001,0.13117389485119,0.957000000000003,0.198877424466618,2.97159907389894,8.30992160135349,9,0.92332462237261,1,0,0.943,0.955,0.962,0.969,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"pl","bam_fd","penalty",0.943720000000001,0.12209205655894,0.931999999999996,0.183646485619728,2.94825375479476,8.30992160135349,9,0.92332462237261,1,0,0.93,0.937,0.942,0.953,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"pl","bam_fe","classic",0.964819999999999,0.147113789294286,0.963000000000002,0.223106474848461,2.97235652364879,8.05982153210442,9,0.89553572578938,0.260999999999995,0,0.946,0.972,0.961,0.977,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"pl","bam_fe","penalty",0.94464,0.133594030762265,0.934999999999998,0.200244408350729,2.93788194333962,8.05982153210442,9,0.89553572578938,0.260999999999995,0,0.935,0.942,0.936,0.949,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"pl","bam_re","classic",0.96038,0.147166938348971,0.958999999999998,0.223190231284515,2.97239651436898,8.06054296394552,9,0.895615884882835,0.263000000000001,0,0.945,0.96,0.963,0.967,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"pl","bam_re","penalty",0.936780000000001,0.132462461797216,0.915,0.198699685665078,2.94011795606838,8.06054296394552,9,0.895615884882835,0.263000000000001,0,0.904,0.941,0.938,0.937,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fd","classic",0.99386,0.190287093541048,1,0.308895183179632,3.18165350228522,11.0988911784253,19,0.584152167285545,0,0,0.985,0.997,0.991,0.996,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fd","penalty",0.944600000000001,0.128157154294166,0.936999999999998,0.197624292645473,3.0223346435354,11.0988911784253,19,0.584152167285545,0,0,0.925,0.959,0.945,0.952,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fe","classic",0.99582,0.21578059124799,1,0.350136589635801,3.18035557608101,10.1848401105718,19,0.536044216345883,0,0,0.988,0.992,0.994,0.995,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fe","penalty",0.9448,0.138735714590226,0.926,0.212018611598344,2.99530655648798,10.1848401105718,19,0.536044216345883,0,0,0.926,0.946,0.926,0.947,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
