"dgp","method","mean_mse","sd_mse","se_mse","median_mse","mean_rmse","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","source_file","n","T","K_smooth_file","configuration","rmse_times_100"
"quadratic","FD spline, fixed K",0.000551014789156433,0.000323704657542036,1.02364400703764e-05,0.000491996841035681,0.0225509733891711,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.25509733891711
"quadratic","mgcv::bam FE",0.000367120744281035,0.000323285725073438,1.02231922625107e-05,0.000285707080109454,0.0176699635773194,20,3.77805171067155,19,0.19884482687745,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.76699635773194
"quadratic","mgcv::bam RE",0.00037165498833568,0.000328158230149202,1.03772744020121e-05,0.000285870253226471,0.0178109931746886,20,3.78256577290321,19,0.199082409100169,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.78109931746886
"quadratic","mgcv::bam FD",0.000341469229082993,0.000280346957162874,8.86534919732338e-06,0.00026340542597214,0.0171281037176441,20,4.06381736465152,19,0.213885124455343,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.71281037176441
"sin_2pi","linear FE",0.231199762185108,0.00779960830435983,0.000246645270989408,0.230723249603483,0.480764291222285,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",48.0764291222285
"sin_2pi","linear FD",0.231642073200669,0.00813044846649685,0.000257107355527533,0.231505764565528,0.481218551427421,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",48.1218551427421
"sin_2pi","spline FE, fixed K",0.00060637232814521,0.000351861791737124,1.11268468347712e-05,0.000529080972985314,0.0236622360662359,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.36622360662359
"sin_2pi","FD spline, fixed K",0.000560333781264408,0.000336973644255732,1.06560422729543e-05,0.000496493311655938,0.0227043087519746,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.27043087519746
"sin_2pi","mgcv::bam FE",0.000758853166951802,0.00037328257584522,1.18042315052545e-05,0.000692536635143686,0.0267775386672414,20,11.4903556218919,19,0.60475555904694,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.67775386672414
"sin_2pi","mgcv::bam RE",0.000767474516467089,0.000382035177595724,1.20810130750942e-05,0.000689507369020541,0.0269156432645508,20,11.493144735766,19,0.604902354514002,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.69156432645508
"sin_2pi","mgcv::bam FD",0.000728322951687004,0.000355326865170298,1.1236422077857e-05,0.000659961571600997,0.0262545445140569,20,12.0452411537739,19,0.633960060724941,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.62545445140569
"linear","linear FE",0.0001670653586482,0.000231311975749691,7.31472693442657e-06,7.93944582576628e-05,0.0103485966398684,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.03485966398684
"linear","linear FD",0.000148977357537481,0.000209446659227896,6.62328491473273e-06,7.21592806593657e-05,0.00982126617464948,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",0.982126617464948
"linear","spline FE, fixed K",0.000610937750770572,0.000345848176253785,1.09366796157732e-05,0.000551882191785205,0.0237802566227432,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.37802566227432
"linear","FD spline, fixed K",0.00054566078853854,0.000310120007150463,9.80685570583169e-06,0.000486441829922623,0.0224747869778198,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.24747869778198
"linear","mgcv::bam FE",0.000204009804039298,0.000256317190457404,8.10546125300572e-06,0.00012548270798304,0.0118494405994009,40,1.32009446612252,39,0.0338485760544236,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.18494405994009
"linear","mgcv::bam RE",0.00021924475896929,0.000266729297987384,8.43472100337898e-06,0.000122358405002767,0.0122712841197434,40,1.38268908809846,39,0.0354535663614989,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.22712841197434
"linear","mgcv::bam FD",0.000198198075631331,0.000238546533385265,7.54350373434834e-06,0.000115691624043077,0.0118160712640025,40,1.45774565640573,39,0.037378093753993,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.18160712640025
"quadratic","linear FE",0.00359008055281191,0.000349442364904402,1.1050337840536e-05,0.0035153679513515,0.0598514694068183,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",5.98514694068183
"quadratic","linear FD",0.00359000310480406,0.000335617662336709,1.06131623596531e-05,0.00352540492433248,0.0598552448475847,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",5.98552448475847
"quadratic","spline FE, fixed K",0.000609611881716344,0.000369861727371717,1.16960547781887e-05,0.000531487512474684,0.0236917072940282,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.36917072940282
"quadratic","FD spline, fixed K",0.000551014789156433,0.000323704657542036,1.02364400703764e-05,0.000491996841035681,0.0225509733891711,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.25509733891711
"quadratic","mgcv::bam FE",0.000367218243107108,0.000323373324314751,1.02259623937492e-05,0.000286434967741419,0.0176720666328941,40,3.78428252447748,39,0.0970328852430123,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.76720666328941
"quadratic","mgcv::bam RE",0.000372814471854949,0.000327962581333872,1.03710874432326e-05,0.00028806350760694,0.017846021832228,40,3.80027865876713,39,0.0974430425324904,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.7846021832228
"quadratic","mgcv::bam FD",0.00034155939244238,0.000280499815405051,8.87018299936746e-06,0.000263037729164239,0.0171301654079047,40,4.07263098044876,39,0.104426435396122,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",1.71301654079047
"sin_2pi","linear FE",0.231199762185108,0.00779960830435983,0.000246645270989408,0.230723249603483,0.480764291222285,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",48.0764291222285
"sin_2pi","linear FD",0.231642073200669,0.00813044846649685,0.000257107355527533,0.231505764565528,0.481218551427421,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",48.1218551427421
"sin_2pi","spline FE, fixed K",0.00060637232814521,0.000351861791737124,1.11268468347712e-05,0.000529080972985314,0.0236622360662359,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.36622360662359
"sin_2pi","FD spline, fixed K",0.000560333781264408,0.000336973644255732,1.06560422729543e-05,0.000496493311655938,0.0227043087519746,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.27043087519746
"sin_2pi","mgcv::bam FE",0.000761316304939077,0.000373537530497005,1.18122938792514e-05,0.00069567746822684,0.0268252282651567,40,12.0467954975085,39,0.308892192243809,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.68252282651567
"sin_2pi","mgcv::bam RE",0.000769868356871319,0.000382074729622359,1.20822638199966e-05,0.000691273603038096,0.0269624852954966,40,12.0502244215023,39,0.308980113371855,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.69624852954966
"sin_2pi","mgcv::bam FD",0.000733123320768802,0.000356405149214448,1.12705204132983e-05,0.00066540270529843,0.026346523889535,40,12.7732655091794,39,0.327519628440498,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam40_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,40,"n=200, T=4",2.6346523889535
"linear","linear FE",9.49206179156355e-05,0.000139049782085107,4.39714019539017e-06,4.12176478173468e-05,0.00771979470151943,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",0.771979470151943
"linear","linear FD",7.22738538457635e-05,9.93110454933627e-05,3.14049100571626e-06,3.32786481893218e-05,0.00680040651089717,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",0.680040651089717
"linear","spline FE, fixed K",0.000317974693989617,0.000198495865291472,6.27699040447014e-06,0.000267159406485893,0.0170422048880468,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",1.70422048880468
"linear","FD spline, fixed K",0.000246758856249966,0.000147690265617546,4.670376275867e-06,0.000217762993960208,0.0150372355631803,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",1.50372355631803
"linear","mgcv::bam FE",0.000114880128842848,0.000151520836724813,4.79150957024897e-06,5.58562855768944e-05,0.00879013733232638,10,1.31323273667889,9,0.145914748519876,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",0.879013733232638
"linear","mgcv::bam RE",0.000115623161776531,0.000155421590747007,4.91486224327094e-06,5.72752740562655e-05,0.00880978811191802,10,1.31441404932527,9,0.146046005480585,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T8_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,8,10,"n=200, T=8",0.880978811191802
