"method","n_success","rejection_classic_cluster","rejection_penalty_cluster","rejection_wild_boot","mean_beta_hat","sd_beta_hat","mean_se_classic_cluster","mean_se_penalty_cluster","mean_p_boot","min_boot_success","mean_boot_success","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","df_correction","source_file","n","T","beta_true","configuration"
"bam_fe",1000,0.057,0.062,NA,0.99918596264111,0.0286524372065053,0.028315097349862,0.0277962905819922,NA,NA,NA,40,10.4830615814428,39,0.268796450806226,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_re",1000,0.05,0.056,NA,1.00124779883558,0.0286407287908081,0.0283186437999648,0.0277068523763728,NA,NA,NA,40,10.4841456122417,39,0.268824246467737,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_fd",1000,0.831,0.833,NA,1.07443468421486,0.0258620072631308,0.0250692869862045,0.0250483307683345,NA,NA,NA,10,8.30998489152134,9,0.923331654613483,1,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fe",1000,0.758,0.759,NA,1.07419187808438,0.0286312883951042,0.0278413859327293,0.0278160130499709,NA,NA,NA,10,8.06068162956018,9,0.895631292173353,0.285,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_re",1000,0.773,0.779,NA,1.07625165737486,0.0286212863936203,0.0278445737446388,0.0277264558558082,NA,NA,NA,10,8.06144067843937,9,0.895715630937708,0.284,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fd",1000,0.829,0.832,NA,1.07443831197868,0.0258410700456116,0.0251889066800313,0.0250153715500332,NA,NA,NA,20,11.068946600702,19,0.582576136879055,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fe",1000,0.756,0.758,NA,1.0741844995345,0.028653579276266,0.0279714634919992,0.0278002771009047,NA,NA,NA,20,10.1619897207495,19,0.534841564249975,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_re",1000,0.772,0.779,NA,1.07624616688864,0.0286419363988265,0.0279747543688238,0.0277107865786855,NA,NA,NA,20,10.1631660058853,19,0.534903473993965,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fd",1000,0.823,0.83,NA,1.0744416399264,0.0258410713457951,0.0255367150637566,0.0250057238454471,NA,NA,NA,40,11.5692072298259,39,0.296646339226304,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fe",1000,0.748,0.758,NA,1.07418560992532,0.0286521990975938,0.0283151241620005,0.0277963141045902,NA,NA,NA,40,10.483061768549,39,0.268796455603821,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_re",1000,0.765,0.779,NA,1.07624750491183,0.0286404859501595,0.0283186279307482,0.0277068462586899,NA,NA,NA,40,10.4844047553811,39,0.268830891163619,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1.075,"n=200, T=8"
"bam_fd",1000,0.058,0.058,NA,0.999873183708281,0.023952474990763,0.0236150883888328,0.0235983121872392,NA,NA,NA,10,8.33803103392016,9,0.926447892657796,1,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fe",1000,0.048,0.047,NA,1.00061043177676,0.0243290750068513,0.0244355012956729,0.0244189009304045,NA,NA,NA,10,8.20675581430952,9,0.911861757145503,0.988,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_re",1000,0.05,0.055,NA,1.00428276356977,0.0243224256378142,0.0244436308739344,0.0241830304188491,NA,NA,NA,10,8.21005459132824,9,0.91222828792536,0.99,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fd",1000,0.056,0.059,NA,0.999869484430273,0.0239979087570399,0.0237198500932684,0.0235728729868951,NA,NA,NA,20,11.1591284336711,19,0.587322549140585,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fe",1000,0.051,0.051,NA,1.00060793043601,0.0243564441190166,0.0245336657231774,0.024403790964657,NA,NA,NA,20,10.6258714868068,19,0.559256394042462,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_re",1000,0.051,0.054,NA,1.00427299624797,0.0243344656437897,0.0245415248948474,0.0241677612667295,NA,NA,NA,20,10.6375048721969,19,0.55986867748405,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fd",1000,0.056,0.058,NA,0.99986413174816,0.0239969636858003,0.0240454738140676,0.023565159972446,NA,NA,NA,40,11.6755527165164,39,0.299373146577343,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fe",1000,0.042,0.052,NA,1.00060558893437,0.0243560679098485,0.0248048937492626,0.0243996245790225,NA,NA,NA,40,11.0209052470386,39,0.282587314026631,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_re",1000,0.049,0.054,NA,1.0042709267989,0.0243344770666775,0.0248128016457527,0.0241636805199287,NA,NA,NA,40,11.0340329840364,39,0.282923922667601,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1,"n=500, T=4"
"bam_fd",1000,0.877,0.877,NA,1.07487295196739,0.0239523154963267,0.0236150917368126,0.0235983155107758,NA,NA,NA,10,8.33803042942277,9,0.926447825491419,1,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_fe",1000,0.872,0.872,NA,1.07561006709378,0.0243289360110671,0.0244355241581463,0.0244189238175018,NA,NA,NA,10,8.20675540045118,9,0.911861711161242,0.988,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_re",1000,0.914,0.919,NA,1.07931385892711,0.0243317151390347,0.0244457779455609,0.0241851770103557,NA,NA,NA,10,8.20819454728763,9,0.912021616365292,0.986,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_fd",1000,0.872,0.873,NA,1.07486925960844,0.0239977536101036,0.0237198554368979,0.0235728769763486,NA,NA,NA,20,11.159121108144,19,0.587322163586526,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_fe",1000,0.87,0.872,NA,1.07560756296584,0.0243563090987088,0.0245336876944472,0.0244038136562599,NA,NA,NA,20,10.6258744636304,19,0.55925655071739,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_re",1000,0.909,0.919,NA,1.07927263162975,0.0243343384907415,0.0245415471932936,0.0241677838041071,NA,NA,NA,20,10.637507779706,19,0.559868830510843,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_fd",1000,0.871,0.874,NA,1.0748639071221,0.0239968087011749,0.0240454776625075,0.023565163775868,NA,NA,NA,40,11.6755442657882,39,0.299372929892004,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_fe",1000,0.863,0.871,NA,1.07560522097216,0.0243559327245783,0.0248049139830163,0.0243996471901122,NA,NA,NA,40,11.0209084401432,39,0.282587395901109,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
"bam_re",1000,0.902,0.919,NA,1.07927056172885,0.0243343496897849,0.0248128222365037,0.0241637029822932,NA,NA,NA,40,11.0340360512208,39,0.282924001313355,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n500_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",500,4,1.075,"n=500, T=4"
