"estimator","log_output","estimate","point_low","point_high","uniform_low","uniform_high"
"First differences",4.70298916328193,0.016490050809646,0.00622654899373246,0.0267535526255595,0.00622654899373246,0.0267535526255595
"First differences",4.70499246041791,0.0174323237810579,0.00658231875078056,0.0282823288113352,0.00658231875078056,0.0282823288113352
"First differences",4.70699575755389,0.0183745966970388,0.00693808827945827,0.0298111051146194,0.00693808827945827,0.0298111051146194
"First differences",4.70899905468987,0.0193168695532236,0.00729385758003173,0.0313398815264154,0.00729385758003173,0.0313398815264154
"First differences",4.71100235182585,0.0202591423452481,0.00764962665275792,0.0328686580377382,0.00764962665275792,0.0328686580377382
"First differences",4.71300564896183,0.0212014150687484,0.00800539549788634,0.0343974346396104,0.00800539549788634,0.0343974346396104
"First differences",4.71500894609781,0.0221436877193592,0.00836116411566009,0.0359262113230582,0.00836116411566009,0.0359262113230582
"First differences",4.71701224323379,0.0230859602927164,0.00871693250631811,0.0374549880791147,0.00871693250631811,0.0374549880791147
"First differences",4.71901554036977,0.0240282327847109,0.00907270067065189,0.0389837648987699,0.00907270067065189,0.0389837648987699
"First differences",4.72101883750575,0.0249705051938688,0.00942846861519604,0.0405125417725416,0.00942846861519604,0.0405125417725416
"First differences",4.72302213464173,0.0259127775202697,0.0097842363498724,0.042041318690667,0.0097842363498724,0.042041318690667
"First differences",4.72502543177771,0.0268550497640146,0.0101400038846451,0.043570095643384,0.0101400038846451,0.043570095643384
"First differences",4.72702872891369,0.0277973219252043,0.0104957712294765,0.0450988726209321,0.0104957712294765,0.0450988726209321
"First differences",4.72903202604967,0.0287395940039386,0.0108515383943272,0.0466276496135501,0.0108515383943272,0.0466276496135501
"First differences",4.73103532318565,0.0296818660003185,0.0112073053891568,0.0481564266114802,0.0112073053891568,0.0481564266114802
"First differences",4.73303862032162,0.0306241379144445,0.0115630722239241,0.0496852036049648,0.0115630722239241,0.0496852036049648
"First differences",4.7350419174576,0.0315664097464175,0.011918838908587,0.051213980584248,0.011918838908587,0.051213980584248
"First differences",4.73704521459358,0.0325086814963371,0.0122746054531021,0.0527427575395722,0.0122746054531021,0.0527427575395722
"First differences",4.73904851172956,0.0334509531643045,0.0126303718674262,0.0542715344611829,0.0126303718674262,0.0542715344611829
"First differences",4.74105180886554,0.0343932247504205,0.0129861381615152,0.0558003113393257,0.0129861381615152,0.0558003113393257
"First differences",4.74305510600152,0.0353354962547848,0.0133419043453245,0.0573290881642451,0.0133419043453245,0.0573290881642451
"First differences",4.7450584031375,0.0362777676774984,0.0136976704288092,0.0588578649261876,0.0136976704288092,0.0588578649261876
"First differences",4.74706170027348,0.0372200390186618,0.0140534364219241,0.0603866416153994,0.0140534364219241,0.0603866416153994
