"model","variable","label","x","estimate"
"Partially linear FE","log_wage","Log wages",2.52753479459789,0.145346935370262
"Partially linear FE","log_wage","Log wages",2.53469256589775,0.142904129733787
"Partially linear FE","log_wage","Log wages",2.54185033719761,0.140461324097312
"Partially linear FE","log_wage","Log wages",2.54900810849747,0.138018518460837
"Partially linear FE","log_wage","Log wages",2.55616587979734,0.135575712824362
"Partially linear FE","log_wage","Log wages",2.5633236510972,0.133132907187887
"Partially linear FE","log_wage","Log wages",2.57048142239706,0.130690101551412
"Partially linear FE","log_wage","Log wages",2.57763919369692,0.128247295914937
"Partially linear FE","log_wage","Log wages",2.58479696499678,0.125804490278462
"Partially linear FE","log_wage","Log wages",2.59195473629665,0.123361684641987
"Partially linear FE","log_wage","Log wages",2.59911250759651,0.120918879005512
"Partially linear FE","log_wage","Log wages",2.60627027889637,0.118476073369037
"Partially linear FE","log_wage","Log wages",2.61342805019623,0.116033267732562
"Partially linear FE","log_wage","Log wages",2.6205858214961,0.113590462096087
"Partially linear FE","log_wage","Log wages",2.62774359279596,0.111147656459612
"Partially linear FE","log_wage","Log wages",2.63490136409582,0.108704850823137
"Partially linear FE","log_wage","Log wages",2.64205913539568,0.106262045186662
"Partially linear FE","log_wage","Log wages",2.64921690669554,0.103819239550187
"Partially linear FE","log_wage","Log wages",2.65637467799541,0.101376433913712
"Partially linear FE","log_wage","Log wages",2.66353244929527,0.0989336282772375
"Partially linear FE","log_wage","Log wages",2.67069022059513,0.0964908226407624
"Partially linear FE","log_wage","Log wages",2.67784799189499,0.0940480170042874
"Partially linear FE","log_wage","Log wages",2.68500576319485,0.0916052113678124
"Partially linear FE","log_wage","Log wages",2.69216353449472,0.0891624057313374
"Partially linear FE","log_wage","Log wages",2.69932130579458,0.0867196000948625
"Partially linear FE","log_wage","Log wages",2.70647907709444,0.0842767944583873
"Partially linear FE","log_wage","Log wages",2.7136368483943,0.0818339888219124
"Partially linear FE","log_wage","Log wages",2.72079461969417,0.0793911831854374
"Partially linear FE","log_wage","Log wages",2.72795239099403,0.0769483775489624
"Partially linear FE","log_wage","Log wages",2.73511016229389,0.0745055719124875
"Partially linear FE","log_wage","Log wages",2.74226793359375,0.0720627662760125
"Partially linear FE","log_wage","Log wages",2.74942570489361,0.0696199606395374
"Partially linear FE","log_wage","Log wages",2.75658347619348,0.0671771550030624
"Partially linear FE","log_wage","Log wages",2.76374124749334,0.0647343493665874
"Partially linear FE","log_wage","Log wages",2.7708990187932,0.0622915437301125
"Partially linear FE","log_wage","Log wages",2.77805679009306,0.0598487380936375
"Partially linear FE","log_wage","Log wages",2.78521456139292,0.0574059324571625
"Partially linear FE","log_wage","Log wages",2.79237233269279,0.0549631268206874
"Partially linear FE","log_wage","Log wages",2.79953010399265,0.0525203211842124
"Partially linear FE","log_wage","Log wages",2.80668787529251,0.0500775155477374
"Partially linear FE","log_wage","Log wages",2.81384564659237,0.0476347099112625
"Partially linear FE","log_wage","Log wages",2.82100341789223,0.0451919042747875
"Partially linear FE","log_wage","Log wages",2.8281611891921,0.0427490986383124
"Partially linear FE","log_wage","Log wages",2.83531896049196,0.0403062930018374
"Partially linear FE","log_wage","Log wages",2.84247673179182,0.0378634873653624
"Partially linear FE","log_wage","Log wages",2.84963450309168,0.0354206817288875
"Partially linear FE","log_wage","Log wages",2.85679227439155,0.0329778760924125
"Partially linear FE","log_wage","Log wages",2.86395004569141,0.0305350704559374
"Partially linear FE","log_wage","Log wages",2.87110781699127,0.0280922648194626
"Partially linear FE","log_wage","Log wages",2.87826558829113,0.0256494591829874
"Partially linear FE","log_wage","Log wages",2.88542335959099,0.0232066535465125
"Partially linear FE","log_wage","Log wages",2.89258113089086,0.0207638479100375
"Partially linear FE","log_wage","Log wages",2.89973890219072,0.0183210422735625
"Partially linear FE","log_wage","Log wages",2.90689667349058,0.0158782366370875
"Partially linear FE","log_wage","Log wages",2.91405444479044,0.0134354310006124
"Partially linear FE","log_wage","Log wages",2.9212122160903,0.0109926253641374
"Partially linear FE","log_wage","Log wages",2.92836998739017,0.00854981972766248
"Partially linear FE","log_wage","Log wages",2.93552775869003,0.0061070140911875
"Partially linear FE","log_wage","Log wages",2.94268552998989,0.00366420845471253
"Partially linear FE","log_wage","Log wages",2.94984330128975,0.00122140281823741
"Partially linear FE","log_wage","Log wages",2.95700107258962,-0.00122140281823756
"Partially linear FE","log_wage","Log wages",2.96415884388948,-0.00366420845471253
"Partially linear FE","log_wage","Log wages",2.97131661518934,-0.0061070140911875
"Partially linear FE","log_wage","Log wages",2.9784743864892,-0.00854981972766248
"Partially linear FE","log_wage","Log wages",2.98563215778906,-0.0109926253641374
"Partially linear FE","log_wage","Log wages",2.99278992908893,-0.0134354310006124
