"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","K_smooth","smooth_edf","edf_ceiling","edf_ratio","binding_90","binding_95","error_design","rho","df_correction"
259,"bam_fd",1.07216473531279,0.0267566894343306,2.69707265130475,1,0.0267369497496232,2.69906387933442,1,NA,NA,NA,10,8.36298890622888,10,0.836298890622888,0,0,"hetero_ar1",0.5,"substantive"
260,"bam_fe",1.0954167431648,0.031984966360468,2.9831747230701,1,0.0319676777657754,2.98478806824526,1,NA,NA,NA,10,7.98946620532201,9,0.887718467258001,0,0,"hetero_ar1",0.5,"substantive"
260,"bam_re",1.09760897141378,0.0319683276476448,3.05330239634777,1,0.0318608572426652,3.06360154312092,1,NA,NA,NA,10,7.99241488251399,9,0.88804609805711,0,0,"hetero_ar1",0.5,"substantive"
260,"bam_fd",1.10074168776237,0.0256827879654625,3.92253706637494,1,0.0256466271310833,3.92806770447711,1,NA,NA,NA,10,8.29562537426616,10,0.829562537426616,0,0,"hetero_ar1",0.5,"substantive"
261,"bam_fe",1.07050656658699,0.0275891724186602,2.55558831258399,1,0.0275674140978322,2.55760537919067,1,NA,NA,NA,10,7.98407993631852,9,0.88711999292428,0,0,"hetero_ar1",0.5,"substantive"
261,"bam_re",1.07246928563146,0.0276177826642733,2.62400810783426,1,0.027521830045167,2.63315649840603,1,NA,NA,NA,10,7.98776713891491,9,0.887529682101657,0,0,"hetero_ar1",0.5,"substantive"
261,"bam_fd",1.0790775458531,0.0244904571743128,3.22891260421411,1,0.0244755922450879,3.23087364184108,1,NA,NA,NA,10,8.20889569641225,10,0.820889569641225,0,0,"hetero_ar1",0.5,"substantive"
262,"bam_fe",1.03568015878618,0.0280170383680572,1.27351643373065,0,0.0279691550855698,1.27569669791676,0,NA,NA,NA,10,8.0427234907934,9,0.89363594342149,0,0,"hetero_ar1",0.5,"substantive"
262,"bam_re",1.03838679863518,0.0280788257512929,1.36710840315025,0,0.0279145206103967,1.37515521656091,0,NA,NA,NA,10,8.03645577324301,9,0.892939530360335,0,0,"hetero_ar1",0.5,"substantive"
262,"bam_fd",1.03826124986125,0.0274200751918888,1.39537363021429,0,0.0273967842020031,1.39655988743588,0,NA,NA,NA,10,8.37695528755351,10,0.837695528755351,0,0,"hetero_ar1",0.5,"substantive"
263,"bam_fe",1.0594251822975,0.0290663988548194,2.04446318218918,1,0.0290279035794567,2.04717444147637,1,NA,NA,NA,10,8.07723962916428,9,0.897471069907142,0,0,"hetero_ar1",0.5,"substantive"
263,"bam_re",1.06172548923925,0.0290712620546386,2.12324766373181,1,0.028920690329036,2.13430207014371,1,NA,NA,NA,10,8.07564103506876,9,0.897293448340973,0,0,"hetero_ar1",0.5,"substantive"
263,"bam_fd",1.0401934388834,0.0252003912526578,1.59495297038931,0,0.0251424970625782,1.59862557737842,0,NA,NA,NA,10,8.38969032258083,10,0.838969032258083,0,0,"hetero_ar1",0.5,"substantive"
264,"bam_fe",1.09846193517829,0.0279225301832151,3.52625405119891,1,0.0278893442900645,3.53044998671277,1,NA,NA,NA,10,8.11426217475149,9,0.901584686083499,1,0,"hetero_ar1",0.5,"substantive"
264,"bam_re",1.09915749006143,0.0279282923675076,3.55043153933731,1,0.0278217168860204,3.56403202820514,1,NA,NA,NA,10,8.11616364638575,9,0.901795960709528,1,0,"hetero_ar1",0.5,"substantive"
264,"bam_fd",1.08280681034874,0.0245302469684857,3.37570226892214,1,0.0245350304356152,3.37504412582813,1,NA,NA,NA,10,8.33223586564826,10,0.833223586564826,0,0,"hetero_ar1",0.5,"substantive"
265,"bam_fe",1.04952108242536,0.0272155948682499,1.8195847882468,0,0.0272347419617776,1.81830554865749,0,NA,NA,NA,10,8.09270574703,9,0.899189527447778,0,0,"hetero_ar1",0.5,"substantive"
265,"bam_re",1.05205092038144,0.0271919809138866,1.91420112224556,0,0.0271452155256726,1.91749888050123,0,NA,NA,NA,10,8.0974645154329,9,0.899718279492545,0,0,"hetero_ar1",0.5,"substantive"
265,"bam_fd",1.05116040936458,0.0245940853350785,2.08019158539764,1,0.0245954153206343,2.08007910001263,1,NA,NA,NA,10,8.32962894475323,10,0.832962894475323,0,0,"hetero_ar1",0.5,"substantive"
266,"bam_fe",1.07885277365224,0.0261993458389131,3.00972299602713,1,0.0261940566606617,3.01033072783513,1,NA,NA,NA,10,8.11763653632368,9,0.901959615147076,1,0,"hetero_ar1",0.5,"substantive"
266,"bam_re",1.08028932075429,0.0261861724336615,3.06609608401864,1,0.0261139220837205,3.07457916497113,1,NA,NA,NA,10,8.115012946992,9,0.901668105221333,1,0,"hetero_ar1",0.5,"substantive"
266,"bam_fd",1.06016517087645,0.0254664516309221,2.3625266585389,1,0.0254474680854873,2.36428907875347,1,NA,NA,NA,10,8.2827211247845,10,0.82827211247845,0,0,"hetero_ar1",0.5,"substantive"
267,"bam_fe",1.11026033442968,0.0266766432963963,4.13321620732444,1,0.0266616330581414,4.13554316756336,1,NA,NA,NA,10,8.01188290840191,9,0.890209212044656,0,0,"hetero_ar1",0.5,"substantive"
267,"bam_re",1.11145166744824,0.0266965606340554,4.1747575268578,1,0.0266263789893923,4.18576132686461,1,NA,NA,NA,10,8.01258504456472,9,0.890287227173858,0,0,"hetero_ar1",0.5,"substantive"
267,"bam_fd",1.15308742686751,0.0224186988641189,6.82855984619743,1,0.0224183940273233,6.8286526983571,1,NA,NA,NA,10,8.30781731820998,10,0.830781731820998,0,0,"hetero_ar1",0.5,"substantive"
268,"bam_fe",1.03399479446353,0.0265890813962172,1.27852459274383,0,0.0265884885499038,1.27855310014056,0,NA,NA,NA,10,8.05242626638815,9,0.894714029598683,0,0,"hetero_ar1",0.5,"substantive"
268,"bam_re",1.03630125773254,0.0266277606810851,1.36328616466524,0,0.0264950185207368,1.37011633730803,0,NA,NA,NA,10,8.05464931621672,9,0.894961035135191,0,0,"hetero_ar1",0.5,"substantive"
