"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fe","penalty",0.233673469387755,0.945,"substantive"
"pl","bam_fe","penalty",0.233673469387755,0.943,"substantive"
"np","bam_re","penalty",0.233673469387755,0.926,"substantive"
"pl","bam_re","penalty",0.233673469387755,0.926,"substantive"
"np","bam_fd","classic",0.252040816326531,1,"substantive"
"pl","bam_fd","classic",0.252040816326531,1,"substantive"
"np","bam_fe","classic",0.252040816326531,1,"substantive"
"pl","bam_fe","classic",0.252040816326531,1,"substantive"
"np","bam_re","classic",0.252040816326531,1,"substantive"
"pl","bam_re","classic",0.252040816326531,1,"substantive"
"np","bam_fd","penalty",0.252040816326531,0.96,"substantive"
"pl","bam_fd","penalty",0.252040816326531,0.938,"substantive"
"np","bam_fe","penalty",0.252040816326531,0.945,"substantive"
"pl","bam_fe","penalty",0.252040816326531,0.945,"substantive"
"np","bam_re","penalty",0.252040816326531,0.937,"substantive"
"pl","bam_re","penalty",0.252040816326531,0.939,"substantive"
"np","bam_fd","classic",0.270408163265306,1,"substantive"
"pl","bam_fd","classic",0.270408163265306,1,"substantive"
"np","bam_fe","classic",0.270408163265306,1,"substantive"
"pl","bam_fe","classic",0.270408163265306,1,"substantive"
"np","bam_re","classic",0.270408163265306,1,"substantive"
"pl","bam_re","classic",0.270408163265306,1,"substantive"
"np","bam_fd","penalty",0.270408163265306,0.951,"substantive"
"pl","bam_fd","penalty",0.270408163265306,0.939,"substantive"
"np","bam_fe","penalty",0.270408163265306,0.953,"substantive"
"pl","bam_fe","penalty",0.270408163265306,0.944,"substantive"
"np","bam_re","penalty",0.270408163265306,0.945,"substantive"
"pl","bam_re","penalty",0.270408163265306,0.946,"substantive"
"np","bam_fd","classic",0.288775510204082,1,"substantive"
"pl","bam_fd","classic",0.288775510204082,0.999,"substantive"
"np","bam_fe","classic",0.288775510204082,1,"substantive"
"pl","bam_fe","classic",0.288775510204082,1,"substantive"
"np","bam_re","classic",0.288775510204082,1,"substantive"
"pl","bam_re","classic",0.288775510204082,0.999,"substantive"
"np","bam_fd","penalty",0.288775510204082,0.961,"substantive"
"pl","bam_fd","penalty",0.288775510204082,0.939,"substantive"
"np","bam_fe","penalty",0.288775510204082,0.951,"substantive"
"pl","bam_fe","penalty",0.288775510204082,0.948,"substantive"
"np","bam_re","penalty",0.288775510204082,0.944,"substantive"
"pl","bam_re","penalty",0.288775510204082,0.942,"substantive"
"np","bam_fd","classic",0.307142857142857,1,"substantive"
"pl","bam_fd","classic",0.307142857142857,1,"substantive"
"np","bam_fe","classic",0.307142857142857,1,"substantive"
"pl","bam_fe","classic",0.307142857142857,1,"substantive"
"np","bam_re","classic",0.307142857142857,1,"substantive"
"pl","bam_re","classic",0.307142857142857,1,"substantive"
"np","bam_fd","penalty",0.307142857142857,0.946,"substantive"
"pl","bam_fd","penalty",0.307142857142857,0.944,"substantive"
"np","bam_fe","penalty",0.307142857142857,0.949,"substantive"
"pl","bam_fe","penalty",0.307142857142857,0.955,"substantive"
"np","bam_re","penalty",0.307142857142857,0.945,"substantive"
"pl","bam_re","penalty",0.307142857142857,0.944,"substantive"
"np","bam_fd","classic",0.325510204081633,1,"substantive"
"pl","bam_fd","classic",0.325510204081633,1,"substantive"
"np","bam_fe","classic",0.325510204081633,1,"substantive"
"pl","bam_fe","classic",0.325510204081633,1,"substantive"
"np","bam_re","classic",0.325510204081633,1,"substantive"
"pl","bam_re","classic",0.325510204081633,0.999,"substantive"
"np","bam_fd","penalty",0.325510204081633,0.948,"substantive"
"pl","bam_fd","penalty",0.325510204081633,0.931,"substantive"
"np","bam_fe","penalty",0.325510204081633,0.954,"substantive"
"pl","bam_fe","penalty",0.325510204081633,0.953,"substantive"
"np","bam_re","penalty",0.325510204081633,0.948,"substantive"
"pl","bam_re","penalty",0.325510204081633,0.94,"substantive"
"np","bam_fd","classic",0.343877551020408,1,"substantive"
"pl","bam_fd","classic",0.343877551020408,0.999,"substantive"
"np","bam_fe","classic",0.343877551020408,1,"substantive"
"pl","bam_fe","classic",0.343877551020408,1,"substantive"
"np","bam_re","classic",0.343877551020408,1,"substantive"
"pl","bam_re","classic",0.343877551020408,1,"substantive"
"np","bam_fd","penalty",0.343877551020408,0.949,"substantive"
"pl","bam_fd","penalty",0.343877551020408,0.942,"substantive"
"np","bam_fe","penalty",0.343877551020408,0.95,"substantive"
"pl","bam_fe","penalty",0.343877551020408,0.947,"substantive"
"np","bam_re","penalty",0.343877551020408,0.948,"substantive"
"pl","bam_re","penalty",0.343877551020408,0.949,"substantive"
"np","bam_fd","classic",0.362244897959184,1,"substantive"
"pl","bam_fd","classic",0.362244897959184,0.999,"substantive"
"np","bam_fe","classic",0.362244897959184,1,"substantive"
"pl","bam_fe","classic",0.362244897959184,1,"substantive"
"np","bam_re","classic",0.362244897959184,1,"substantive"
"pl","bam_re","classic",0.362244897959184,1,"substantive"
"np","bam_fd","penalty",0.362244897959184,0.948,"substantive"
"pl","bam_fd","penalty",0.362244897959184,0.94,"substantive"
"np","bam_fe","penalty",0.362244897959184,0.951,"substantive"
"pl","bam_fe","penalty",0.362244897959184,0.944,"substantive"
"np","bam_re","penalty",0.362244897959184,0.951,"substantive"
"pl","bam_re","penalty",0.362244897959184,0.937,"substantive"
"np","bam_fd","classic",0.380612244897959,1,"substantive"
"pl","bam_fd","classic",0.380612244897959,0.999,"substantive"
"np","bam_fe","classic",0.380612244897959,0.999,"substantive"
"pl","bam_fe","classic",0.380612244897959,1,"substantive"
"np","bam_re","classic",0.380612244897959,0.999,"substantive"
"pl","bam_re","classic",0.380612244897959,1,"substantive"
"np","bam_fd","penalty",0.380612244897959,0.942,"substantive"
"pl","bam_fd","penalty",0.380612244897959,0.945,"substantive"
"np","bam_fe","penalty",0.380612244897959,0.95,"substantive"
"pl","bam_fe","penalty",0.380612244897959,0.951,"substantive"
"np","bam_re","penalty",0.380612244897959,0.944,"substantive"
"pl","bam_re","penalty",0.380612244897959,0.943,"substantive"
"np","bam_fd","classic",0.398979591836735,1,"substantive"
"pl","bam_fd","classic",0.398979591836735,1,"substantive"
"np","bam_fe","classic",0.398979591836735,1,"substantive"
"pl","bam_fe","classic",0.398979591836735,1,"substantive"
"np","bam_re","classic",0.398979591836735,1,"substantive"
"pl","bam_re","classic",0.398979591836735,1,"substantive"
"np","bam_fd","penalty",0.398979591836735,0.943,"substantive"
"pl","bam_fd","penalty",0.398979591836735,0.955,"substantive"
"np","bam_fe","penalty",0.398979591836735,0.948,"substantive"
"pl","bam_fe","penalty",0.398979591836735,0.951,"substantive"
"np","bam_re","penalty",0.398979591836735,0.945,"substantive"
"pl","bam_re","penalty",0.398979591836735,0.947,"substantive"
"np","bam_fd","classic",0.41734693877551,1,"substantive"
"pl","bam_fd","classic",0.41734693877551,1,"substantive"
"np","bam_fe","classic",0.41734693877551,1,"substantive"
"pl","bam_fe","classic",0.41734693877551,1,"substantive"
"np","bam_re","classic",0.41734693877551,1,"substantive"
"pl","bam_re","classic",0.41734693877551,1,"substantive"
"np","bam_fd","penalty",0.41734693877551,0.948,"substantive"
"pl","bam_fd","penalty",0.41734693877551,0.952,"substantive"
"np","bam_fe","penalty",0.41734693877551,0.951,"substantive"
"pl","bam_fe","penalty",0.41734693877551,0.942,"substantive"
"np","bam_re","penalty",0.41734693877551,0.95,"substantive"
"pl","bam_re","penalty",0.41734693877551,0.942,"substantive"
"np","bam_fd","classic",0.435714285714286,1,"substantive"
"pl","bam_fd","classic",0.435714285714286,0.999,"substantive"
"np","bam_fe","classic",0.435714285714286,1,"substantive"
"pl","bam_fe","classic",0.435714285714286,0.999,"substantive"
"np","bam_re","classic",0.435714285714286,1,"substantive"
"pl","bam_re","classic",0.435714285714286,0.999,"substantive"
"np","bam_fd","penalty",0.435714285714286,0.955,"substantive"
"pl","bam_fd","penalty",0.435714285714286,0.943,"substantive"
"np","bam_fe","penalty",0.435714285714286,0.939,"substantive"
"pl","bam_fe","penalty",0.435714285714286,0.947,"substantive"
"np","bam_re","penalty",0.435714285714286,0.945,"substantive"
"pl","bam_re","penalty",0.435714285714286,0.941,"substantive"
"np","bam_fd","classic",0.454081632653061,1,"substantive"
"pl","bam_fd","classic",0.454081632653061,0.999,"substantive"
"np","bam_fe","classic",0.454081632653061,1,"substantive"
"pl","bam_fe","classic",0.454081632653061,1,"substantive"
"np","bam_re","classic",0.454081632653061,1,"substantive"
"pl","bam_re","classic",0.454081632653061,1,"substantive"
"np","bam_fd","penalty",0.454081632653061,0.954,"substantive"
"pl","bam_fd","penalty",0.454081632653061,0.943,"substantive"
"np","bam_fe","penalty",0.454081632653061,0.94,"substantive"
"pl","bam_fe","penalty",0.454081632653061,0.934,"substantive"
"np","bam_re","penalty",0.454081632653061,0.939,"substantive"
"pl","bam_re","penalty",0.454081632653061,0.935,"substantive"
"np","bam_fd","classic",0.472448979591837,1,"substantive"
"pl","bam_fd","classic",0.472448979591837,0.999,"substantive"
"np","bam_fe","classic",0.472448979591837,1,"substantive"
"pl","bam_fe","classic",0.472448979591837,0.999,"substantive"
"np","bam_re","classic",0.472448979591837,1,"substantive"
"pl","bam_re","classic",0.472448979591837,0.999,"substantive"
"np","bam_fd","penalty",0.472448979591837,0.95,"substantive"
"pl","bam_fd","penalty",0.472448979591837,0.94,"substantive"
"np","bam_fe","penalty",0.472448979591837,0.947,"substantive"
"pl","bam_fe","penalty",0.472448979591837,0.935,"substantive"
"np","bam_re","penalty",0.472448979591837,0.947,"substantive"
"pl","bam_re","penalty",0.472448979591837,0.932,"substantive"
"np","bam_fd","classic",0.490816326530612,1,"substantive"
"pl","bam_fd","classic",0.490816326530612,1,"substantive"
"np","bam_fe","classic",0.490816326530612,1,"substantive"
"pl","bam_fe","classic",0.490816326530612,1,"substantive"
"np","bam_re","classic",0.490816326530612,1,"substantive"
"pl","bam_re","classic",0.490816326530612,1,"substantive"
"np","bam_fd","penalty",0.490816326530612,0.946,"substantive"
"pl","bam_fd","penalty",0.490816326530612,0.93,"substantive"
"np","bam_fe","penalty",0.490816326530612,0.938,"substantive"
"pl","bam_fe","penalty",0.490816326530612,0.945,"substantive"
"np","bam_re","penalty",0.490816326530612,0.936,"substantive"
"pl","bam_re","penalty",0.490816326530612,0.942,"substantive"
"np","bam_fd","classic",0.509183673469388,1,"substantive"
"pl","bam_fd","classic",0.509183673469388,1,"substantive"
"np","bam_fe","classic",0.509183673469388,1,"substantive"
