"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"pl","bam_fd","mgcv_sandwich_freq",0.95,0.923,-0.305138973650823,0.0456200948685279,0.0514550436071994,-0.309016994374948,0.00387802072412441,0.886601034036339,0.00387802072412441,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.05,0.951,0.306502048395038,0.036506249788137,0.0367574286767056,0.309016994374947,-0.00251494597990948,0.993166581624145,0.00251494597990948,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.0683673469387755,0.946,0.413002698283015,0.0367905387291935,0.0371706116620553,0.416475099043599,-0.00347240076058392,0.989774907759998,0.00347240076058392,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.086734693877551,0.946,0.514963657741529,0.0363053456525621,0.0363608797589213,0.518392568310525,-0.00342891056899608,0.998472696295377,0.00342891056899608,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.105102040816327,0.945,0.610368351995553,0.0351396710278323,0.0347361413766851,0.613413528704367,-0.00304517670881355,1.01161699702829,0.00304517670881355,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.123469387755102,0.951,0.697454268056537,0.0337888118811637,0.03325105890872,0.700273855435255,-0.00281958737871857,1.01617250668377,0.00281958737871857,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.141836734693878,0.951,0.77492569398739,0.0325864173563786,0.0323760440697837,0.777817989857797,-0.00289229587040762,1.00649780702489,0.00289229587040762,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.160204081632653,0.943,0.841940006463395,0.031658008104955,0.0320046564948846,0.845014312609001,-0.00307430614560678,0.989168813919783,0.00307430614560678,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.178571428571429,0.938,0.897895112074008,0.0309649313675241,0.0317938522689986,0.900968867902419,-0.0030737558284113,0.973928264670126,0.0030737558284113,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.196938775510204,0.931,0.942206388536832,0.0304536337983633,0.0315217761869903,0.944937256395429,-0.002730867858597,0.966114143368995,0.002730867858597,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.21530612244898,0.936,0.974222824320938,0.0300295711660944,0.0311310869653701,0.976334538411204,-0.00211171409026611,0.964616853870183,0.00211171409026611,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.233673469387755,0.939,0.99331887860249,0.0295856059465117,0.030689548151298,0.994743015766457,-0.00142413716396728,0.964028724067754,0.00142413716396728,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.252040816326531,0.94,0.999035946822215,0.0291438229251769,0.0302702650526908,0.999917788678319,-0.000881841856104626,0.962787173301814,0.000881841856104626,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.270408163265306,0.932,0.991161291297359,0.0287262070009717,0.0297026137548949,0.991790013823246,-0.000628722525887526,0.967127244693665,0.000628722525887526,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.288775510204082,0.94,0.969738048301552,0.0283281143411471,0.0288490120051532,0.970467820203915,-0.000729771902362675,0.981944003353977,0.000729771902362675,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.307142857142857,0.948,0.935072123474731,0.0280109886798762,0.0279974122465713,0.936234870639737,-0.00116274716500642,1.00048491743399,0.00116274716500642,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.325510204081633,0.952,0.88778689989449,0.0277686012086463,0.027529745144802,0.889546588018412,-0.00175968812392202,1.00867629041199,0.00175968812392202,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.343877551020408,0.942,0.828816163277548,0.0275670712813459,0.0274301427130689,0.831024096513104,-0.00220793323555657,1.00499190141697,0.00220793323555657,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.362244897959184,0.941,0.759241106468921,0.0273925743255666,0.0272967734968545,0.761445958369135,-0.00220485190021336,1.00350960265407,0.00220485190021336,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.380612244897959,0.938,0.680056841420225,0.0271901406063896,0.0269076175784631,0.681737816191,-0.00168097477077489,1.01049974146178,0.00168097477077489,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.398979591836735,0.949,0.592070840262235,0.0270210824840523,0.0266182052424137,0.592960078525026,-0.000889238262791192,1.01513540217943,0.000889238262791192,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.41734693877551,0.952,0.496037359312965,0.0269596743195668,0.0267396235453626,0.49629381256425,-0.000256453251285038,1.00822938938654,0.000256453251285038,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.435714285714286,0.951,0.392953293373737,0.0269312965729518,0.026985806653354,0.393025031653924,-7.17382801873057e-05,0.997980046284981,7.17382801873057e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.454081632653061,0.954,0.284245592001064,0.0269201022747495,0.0269922676812065,0.284527586631033,-0.000281994629969196,0.997326441508757,0.000281994629969196,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.472448979591837,0.955,0.171684687803682,0.0269679661801451,0.0267641475822916,0.17224488860532,-0.000560200801637101,1.00761535921243,0.000560200801637101,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.490816326530612,0.955,0.0570761876906035,0.0271039591710702,0.0266892881244403,0.0576707063353748,-0.000594518644771336,1.01553698415246,0.000594518644771336,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.509183673469388,0.947,-0.0579898195388026,0.0273694133480481,0.0271330116175889,-0.0576707063353744,-0.000319113203428215,1.00871269779378,0.000319113203428215,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.527551020408163,0.943,-0.172164549238294,0.0276940072839791,0.0278565896286915,-0.172244888605319,8.03393670250618e-05,0.99416359479464,8.03393670250618e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.545918367346939,0.939,-0.284170145500732,0.0280217502266964,0.0284693025718593,-0.284527586631032,0.000357441130300784,0.984279476322497,0.000357441130300784,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.564285714285714,0.945,-0.39261867204435,0.0283747888459601,0.0290206978678227,-0.393025031653923,0.000406359609573193,0.977743160250508,0.000406359609573193,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.58265306122449,0.945,-0.496005323895455,0.0287119651812499,0.0296800212110168,-0.49629381256425,0.000288488668794495,0.967383580258103,0.000288488668794495,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.601020408163265,0.946,-0.592823256152431,0.0290732569905698,0.0304027667457533,-0.592960078525026,0.000136822372594048,0.956270106391903,0.000136822372594048,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.619387755102041,0.94,-0.681651208264583,0.0295431846878547,0.0309143312959127,-0.681737816190999,8.66079264165709e-05,0.955646894156196,8.66079264165709e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.637755102040816,0.938,-0.761191942111631,0.0301057981344643,0.0310748905159869,-0.761445958369134,0.000254016257503209,0.968814294582181,0.000254016257503209,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.656122448979592,0.944,-0.830297384057266,0.0307810590784299,0.0311693148934366,-0.831024096513103,0.000726712455837109,0.98754365258479,0.000726712455837109,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.674489795918367,0.949,-0.888045831877965,0.0315588076047748,0.0313407925011531,-0.889546588018411,0.00150075614044654,1.00695627283878,0.00150075614044654,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.692857142857143,0.957,-0.933827889777529,0.0323773569921587,0.0315203936157064,-0.936234870639737,0.00240698086220836,1.0271875848665,0.00240698086220836,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.711224489795918,0.956,-0.96731756411527,0.033248716553136,0.0320420583165496,-0.970467820203915,0.00315025608864405,1.03765857438575,0.00315025608864405,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.729591836734694,0.953,-0.988327969647918,0.0341445126234326,0.0332073028282849,-0.991790013823246,0.00346204417532792,1.0282230026327,0.00346204417532792,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.747959183673469,0.953,-0.996640782648122,0.0350380219987297,0.0347446790188927,-0.999917788678319,0.00327700603019709,1.00844281737867,0.00327700603019709,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.766326530612245,0.945,-0.991985779688844,0.0359682111928076,0.0361925780552647,-0.994743015766457,0.00275723607761291,0.993800749365947,0.00275723607761291,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.78469387755102,0.944,-0.974178254309829,0.0368809164888667,0.0372504850098732,-0.976334538411204,0.00215628410137569,0.990078826600282,0.00215628410137569,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.803061224489796,0.947,-0.943283109550345,0.0378027539618117,0.0379921341515298,-0.944937256395429,0.00165414684508436,0.995015278979516,0.00165414684508436,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.821428571428571,0.95,-0.899651701748192,0.0389314815180897,0.0389141947881393,-0.900968867902419,0.00131716615422706,1.00044422684433,0.00131716615422706,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.839795918367347,0.945,-0.843823439386947,0.0404191885341576,0.040567927185993,-0.845014312609002,0.00119087322205436,0.996333590051238,0.00119087322205436,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.858163265306122,0.943,-0.776421360215199,0.0423886105556557,0.0431453609264111,-0.777817989857798,0.0013966296425989,0.982460446395475,0.0013966296425989,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.876530612244898,0.941,-0.698202903098103,0.0448324370197809,0.0462205486536815,-0.700273855435255,0.00207095233715182,0.969967651308049,0.00207095233715182,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.894897959183673,0.945,-0.610243289879815,0.047471071404494,0.049051057444423,-0.613413528704367,0.00317023882455125,0.967788950488597,0.00317023882455125,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.913265306122449,0.942,-0.514086095870283,0.0497671063378001,0.0510746218788007,-0.518392568310526,0.00430647244024251,0.974399897778913,0.00430647244024251,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.931632653061224,0.952,-0.411689063589322,0.050903156746472,0.0517828888981606,-0.4164750990436,0.00478603545427719,0.983011141896336,0.00478603545427719,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.95,0.955,-0.305138973650823,0.0508620350633135,0.0514550436071994,-0.309016994374948,0.00387802072412441,0.988475210546649,0.00387802072412441,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.05,0.979,0.306502048395038,0.0430030542296199,0.0367574286767056,0.309016994374947,-0.00251494597990948,1.1699146479436,0.00251494597990948,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.0683673469387755,0.975,0.413002698283015,0.0427956388364129,0.0371706116620553,0.416475099043599,-0.00347240076058392,1.15132995995597,0.00347240076058392,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.086734693877551,0.969,0.514963657741529,0.0407477094963699,0.0363608797589213,0.518392568310525,-0.00342891056899608,1.12064696361953,0.00342891056899608,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.105102040816327,0.974,0.610368351995553,0.0393495100726517,0.0347361413766851,0.613413528704367,-0.00304517670881355,1.13281177796746,0.00304517670881355,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.123469387755102,0.974,0.697454268056537,0.0380964942053249,0.03325105890872,0.700273855435255,-0.00281958737871857,1.14572273652717,0.00281958737871857,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.141836734693878,0.976,0.77492569398739,0.0368000300393068,0.0323760440697837,0.777817989857797,-0.00289229587040762,1.13664380861317,0.00289229587040762,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.160204081632653,0.968,0.841940006463395,0.0360835119116458,0.0320046564948846,0.845014312609001,-0.00307430614560678,1.12744568645544,0.00307430614560678,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.178571428571429,0.963,0.897895112074008,0.0353270832212454,0.0317938522689986,0.900968867902419,-0.0030737558284113,1.11112937565267,0.0030737558284113,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.196938775510204,0.966,0.942206388536832,0.0345390141349682,0.0315217761869903,0.944937256395429,-0.002730867858597,1.09571916030617,0.002730867858597,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.21530612244898,0.966,0.974222824320938,0.034082018645196,0.0311310869653701,0.976334538411204,-0.00211171409026611,1.09479051223327,0.00211171409026611,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.233673469387755,0.963,0.99331887860249,0.033425740397352,0.030689548151298,0.994743015766457,-0.00142413716396728,1.08915713690422,0.00142413716396728,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.252040816326531,0.96,0.999035946822215,0.032775999230494,0.0302702650526908,0.999917788678319,-0.000881841856104626,1.08277873264213,0.000881841856104626,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.270408163265306,0.962,0.991161291297359,0.0323653402972782,0.0297026137548949,0.991790013823246,-0.000628722525887526,1.08964620300274,0.000628722525887526,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.288775510204082,0.967,0.969738048301552,0.031799510627405,0.0288490120051532,0.970467820203915,-0.000729771902362675,1.10227381865711,0.000729771902362675,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.307142857142857,0.969,0.935072123474731,0.0314029051465074,0.0279974122465713,0.936234870639737,-0.00116274716500642,1.12163598799575,0.00116274716500642,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.325510204081633,0.97,0.88778689989449,0.031180021446211,0.027529745144802,0.889546588018412,-0.00175968812392202,1.13259390096818,0.00175968812392202,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.343877551020408,0.968,0.828816163277548,0.0308201628844453,0.0274301427130689,0.831024096513104,-0.00220793323555657,1.12358740553549,0.00220793323555657,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.362244897959184,0.962,0.759241106468921,0.0306352132928607,0.0272967734968545,0.761445958369135,-0.00220485190021336,1.12230162646845,0.00220485190021336,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.380612244897959,0.958,0.680056841420225,0.0304303285905931,0.0269076175784631,0.681737816191,-0.00168097477077489,1.13091872596515,0.00168097477077489,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
