"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
4,"bam_re","penalty_cluster",0.937214989622899,0.000995296882813031,0.0315483261491482,-1.99012176051047,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","penalty_cluster_delta",0.937214989622899,0.00099994375389052,0.0316218872601007,-1.98549219598038,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_freq",0.937214989622899,0.000928119946939681,0.0304650610854415,-2.0608857537169,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_default",0.937214989622899,0.00093276681801717,0.0305412314423824,-2.05574586917192,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","classic_cluster",0.953132142712065,0.00143301006908317,0.0378551194567283,-1.2380850453136,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","penalty_cluster",0.953132142712065,0.00139320676441853,0.0373256850495545,-1.25564627215046,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","penalty_cluster_delta",0.953132142712065,0.00139532453361322,0.0373540430691675,-1.25469302482602,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_freq",0.953132142712065,0.000961311599015214,0.0310050253832377,-1.51162131650031,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_default",0.953132142712065,0.0009634293682099,0.0310391586259986,-1.50995901186182,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","classic_cluster",0.976509487091226,0.000739263081188532,0.0271893928065437,-0.863958716397687,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster",0.976509487091226,0.000736108946362954,0.0271313277663102,-0.865807715387336,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster_delta",0.976509487091226,0.00073716332556235,0.0271507518415669,-0.865188302918772,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_freq",0.976509487091226,0.000900697879726958,0.0300116290748596,-0.782713689089665,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_default",0.976509487091226,0.000901752258926353,0.0300291901143929,-0.782255958928279,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","classic_cluster",0.978543603480857,0.000743756789477289,0.0272719047643777,-0.786758266594157,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster",0.978543603480857,0.000733248459840179,0.0270785608893859,-0.792375806335895,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster_delta",0.978543603480857,0.000738164934518157,0.0271691909065794,-0.789732627405802,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","mgcv_sandwich_freq",0.978543603480857,0.000891654574387169,0.0298605856336939,-0.718552435051103,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","mgcv_sandwich_default",0.978543603480857,0.000896571049065147,0.0299427962799927,-0.716579584568712,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","classic_cluster",0.974479552206052,0.00133348234260888,0.0365168775035445,-0.698867196174456,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","penalty_cluster",0.974479552206052,0.00131156298820759,0.036215507565235,-0.704682869568465,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","penalty_cluster_delta",0.974479552206052,0.0013135640085559,0.0362431236037389,-0.704145924975283,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","mgcv_sandwich_freq",0.974479552206052,0.00100347884870076,0.031677734273473,-0.805627308242154,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","mgcv_sandwich_default",0.974479552206052,0.00100547986904907,0.0317093025632711,-0.804825263596577,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","classic_cluster",0.97580482095045,0.000859782913010938,0.0293220550611811,-0.82515290961243,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","penalty_cluster",0.97580482095045,0.000845176896197257,0.0290719262553629,-0.832252353594431,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","penalty_cluster_delta",0.97580482095045,0.000846594079658216,0.0290962897919686,-0.831555473998202,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","mgcv_sandwich_freq",0.97580482095045,0.000902098323161147,0.0300349516923392,-0.80556743681132,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","mgcv_sandwich_default",0.97580482095045,0.000903515506622106,0.0300585346719048,-0.804935413972933,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_re","classic_cluster",0.978563612204011,0.000857304166199482,0.0292797569354577,-0.732123147171005,0,1,4.45365961844403e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_re","penalty_cluster",0.978563612204011,0.000836284038806009,0.028918576016222,-0.741267059068348,0,1,4.45365961844403e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_re","penalty_cluster_delta",0.978563612204011,0.000840737698424453,0.0289954772063585,-0.739301086284192,0,1,4.45365961844403e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_re","mgcv_sandwich_freq",0.978563612204011,0.000892754833827781,0.029879003226811,-0.71743985678726,0,1,4.45365961844403e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_re","mgcv_sandwich_default",0.978563612204011,0.000897208493446225,0.0299534387582832,-0.715656989134891,0,1,4.45365961844403e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fd","classic_cluster",0.969506875500854,0.00119146625855827,0.0345176224348994,-0.883407440841465,0,1,2.51526355099551e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fd","penalty_cluster",0.969506875500854,0.00118027001359369,0.0343550580496336,-0.88758762843865,0,1,2.51526355099551e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fd","penalty_cluster_delta",0.969506875500854,0.00118278527714469,0.0343916454556145,-0.886643372109094,0,1,2.51526355099551e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fd","mgcv_sandwich_freq",0.969506875500854,0.000942254841187884,0.0306961698129894,-0.993385320869671,0,1,2.51526355099551e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fd","mgcv_sandwich_default",0.969506875500854,0.000944770104738879,0.0307371128237328,-0.992062093600477,0,1,2.51526355099551e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fe","classic_cluster",0.95258850250603,0.00105157465860274,0.0324279918990174,-1.46205468539688,0,1,1.41828674278142e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fe","penalty_cluster",0.95258850250603,0.0010344890631354,0.0321634740526486,-1.47407887022286,0,1,1.41828674278142e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fe","penalty_cluster_delta",0.95258850250603,0.00103590734987818,0.0321855145970697,-1.47306942540813,0,1,1.41828674278142e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fe","mgcv_sandwich_freq",0.95258850250603,0.00100874652706361,0.0317607702529962,-1.49276913362949,0,1,1.41828674278142e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fe","mgcv_sandwich_default",0.95258850250603,0.00101016481380639,0.0317830900606972,-1.49172083027255,0,1,1.41828674278142e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_re","classic_cluster",0.955130202345336,0.0010550636370723,0.0324817431347564,-1.38138515129909,0,1,4.82043235979673e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_re","penalty_cluster",0.955130202345336,0.00103023152403569,0.0320972198801655,-1.39793408345597,0,1,4.82043235979673e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_re","penalty_cluster_delta",0.955130202345336,0.00103505195639549,0.0321722233673007,-1.39467506309398,0,1,4.82043235979673e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_re","mgcv_sandwich_freq",0.955130202345336,0.00100522713797088,0.0317053171876719,-1.41521364978209,0,1,4.82043235979673e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_re","mgcv_sandwich_default",0.955130202345336,0.00101004757033068,0.0317812455755069,-1.41183257113258,0,1,4.82043235979673e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fd","classic_cluster",0.967372235888694,0.00133874551222502,0.0365888714259544,-0.891740106751745,0,1,1.48317331613872e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fd","penalty_cluster",0.967372235888694,0.00132167394554102,0.036354833867603,-0.897480765009961,0,1,1.48317331613872e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fd","penalty_cluster_delta",0.967372235888694,0.00132315711885716,0.0363752267189794,-0.896977615105345,0,1,1.48317331613872e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fd","mgcv_sandwich_freq",0.967372235888694,0.000918502437049682,0.0303068051277214,-1.07658210668541,0,1,1.48317331613872e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
7,"bam_fd","mgcv_sandwich_default",0.967372235888694,0.000919985610365821,0.0303312645691837,-1.07571393988155,0,1,1.48317331613872e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fe","classic_cluster",1.00809794476682,0.00110735522772966,0.0332769473919959,0.243349988549889,0,1,1.44748482040042e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fe","penalty_cluster",1.00809794476682,0.00109109796704743,0.0330317720845768,0.245156231584637,0,1,1.44748482040042e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fe","penalty_cluster_delta",1.00809794476682,0.00109254545186783,0.0330536753155807,0.24499377722756,0,1,1.44748482040042e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fe","mgcv_sandwich_freq",1.00809794476682,0.000953426040241976,0.030877597708403,0.262259546331666,0,1,1.44748482040042e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fe","mgcv_sandwich_default",1.00809794476682,0.000954873525062376,0.0309010278965341,0.262060692412298,0,1,1.44748482040042e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_re","classic_cluster",1.01162877262854,0.00110757108304342,0.0332801905499866,0.349420253801502,0,1,4.9259999296904e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_re","penalty_cluster",1.01162877262854,0.00108233064550059,0.0328987939824636,0.353471091819879,0,1,4.9259999296904e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_re","penalty_cluster_delta",1.01162877262854,0.00108725664543028,0.0329735749567783,0.352669452547431,0,1,4.9259999296904e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_re","mgcv_sandwich_freq",1.01162877262854,0.000944173680496827,0.0307274092708257,0.37844949849318,0,1,4.9259999296904e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_re","mgcv_sandwich_default",1.01162877262854,0.000949099680426518,0.0308074614408023,0.377466109983902,0,1,4.9259999296904e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fd","classic_cluster",0.985179305212174,0.00139716044392374,0.0373786094434201,-0.396502037087811,0,1,1.6515844969494e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fd","penalty_cluster",0.985179305212174,0.00138532949538427,0.0372200147149926,-0.398191534885553,0,1,1.6515844969494e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fd","penalty_cluster_delta",0.985179305212174,0.00138698107988122,0.0372421948853879,-0.397954385702458,0,1,1.6515844969494e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fd","mgcv_sandwich_freq",0.985179305212174,0.000918531333813867,0.0303072818611941,-0.489014318595242,0,1,1.6515844969494e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
8,"bam_fd","mgcv_sandwich_default",0.985179305212174,0.000920182918310816,0.0303345169454009,-0.488575269370583,0,1,1.6515844969494e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fe","classic_cluster",1.04226581914763,0.00105282076339097,0.032447199623249,1.30260298695688,0,1,7.07180736074834e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fe","penalty_cluster",1.04226581914763,0.00104358313329894,0.0323045373484738,1.30835550101532,0,1,7.07180736074834e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fe","penalty_cluster_delta",1.04226581914763,0.00104429031403501,0.0323154810274428,1.30791242475201,0,1,7.07180736074834e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fe","mgcv_sandwich_freq",1.04226581914763,0.000965332999415602,0.0310698084869476,1.36035016647709,0,1,7.07180736074834e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fe","mgcv_sandwich_default",1.04226581914763,0.000966040180151677,0.0310811869167134,1.35985215947151,0,1,7.07180736074834e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_re","classic_cluster",1.04546180618362,0.00105621732232849,0.0324994972627038,1.39884644418147,0,1,5.20530936578385e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_re","penalty_cluster",1.04546180618362,0.00103437563181747,0.0321617106481834,1.41353818772033,0,1,5.20530936578385e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_re","penalty_cluster_delta",1.04546180618362,0.00103958094118326,0.0322425331074228,1.40999486709537,0,1,5.20530936578385e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_re","mgcv_sandwich_freq",1.04546180618362,0.000963986075993737,0.0310481251606878,1.46423675981508,0,1,5.20530936578385e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_re","mgcv_sandwich_default",1.04546180618362,0.000969191385359521,0.0311318387725415,1.46029942258715,0,1,5.20530936578385e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fd","classic_cluster",1.05004756981317,0.0013408279783677,0.036617318011669,1.36677322454977,0,1,9.25498857673413e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fd","penalty_cluster",1.05004756981317,0.00133626457148081,0.036554952762667,1.36910503312936,0,1,9.25498857673413e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fd","penalty_cluster_delta",1.05004756981317,0.00133719007033849,0.036567609579223,1.36863115716509,0,1,9.25498857673413e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fd","mgcv_sandwich_freq",1.05004756981317,0.000878679899491813,0.0296425353080976,1.68837008349625,0,1,9.25498857673413e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
9,"bam_fd","mgcv_sandwich_default",1.05004756981317,0.000879605398349486,0.0296581421931564,1.68748161928773,0,1,9.25498857673413e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
