"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_re","classic_cluster",0.99528,0.300601389166129,0.999,0.487310125617869,3.17732509465427,0.985,0.997,0.997,0.996,0.0152014887085928,0.0476118381895635,0.0766854369614019,1.61407532315027,0.0271724790921067,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","penalty_cluster",0.92266,0.176952429630777,0.880000000000003,0.267012608335376,2.95762420773673,0.898,0.917,0.929,0.922,0.0152014887085928,0.0476118381895635,0.0451417554165676,0.949007228355912,0.0271724790921067,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","penalty_cluster_delta",0.959780000000001,0.203974362727577,0.970999999999999,0.317464437656576,3.05059708303544,0.939,0.957,0.971,0.955,0.0152014887085928,0.0476118381895635,0.0520352323656202,1.09496976758412,0.0271724790921067,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_freq",0.92524,0.177587519116603,0.900000000000001,0.268176672708928,2.9597891518108,0.905,0.914,0.93,0.923,0.0152014887085928,0.0476118381895635,0.0453037710175776,0.952565849700572,0.0271724790921067,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_default",0.961499999999999,0.204450956929267,0.974000000000002,0.318292923447033,3.05138868823576,0.944,0.961,0.969,0.958,0.0152014887085928,0.0476118381895635,0.0521568147532175,1.09766932446533,0.0271724790921067,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","classic_cluster",0.99644,0.289671049735535,0.999,0.469190665116763,3.17453189122268,0.989,0.999,0.997,1,0.00178488773619178,0.0462900201002341,0.0738970338282802,1.5995928868136,0.00426124928172855,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.944720000000001,0.178538771920025,0.921,0.270081466695125,2.96492662619537,0.925,0.939,0.954,0.952,0.00178488773619178,0.0462900201002341,0.0455464420081991,0.985439108048103,0.00426124928172855,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.969260000000001,0.200087951360594,0.978999999999999,0.311743713366467,3.05364875115161,0.955,0.981,0.97,0.969,0.00178488773619178,0.0462900201002341,0.0510437826763303,1.10727380405704,0.00426124928172855,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","mgcv_sandwich_freq",0.92664,0.166028990760036,0.888000000000003,0.251406837634524,2.9678121650347,0.902,0.928,0.929,0.934,0.00178488773619178,0.0462900201002341,0.0423551126626948,0.917024684164476,0.00426124928172855,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","mgcv_sandwich_default",0.95958,0.188906438311364,0.967000000000001,0.29520666573657,3.0627600615082,0.943,0.966,0.965,0.961,0.00178488773619178,0.0462900201002341,0.0481913034630825,1.04631371949611,0.00426124928172855,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","classic_cluster",0.99764,0.301732470245057,1,0.488832063960124,3.17531559828322,0.994,0.997,0.998,0.998,0.00204752699829941,0.0474328308685381,0.076973983355073,1.62655083783369,0.00502839349240602,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.943780000000001,0.181769302243365,0.920999999999999,0.273524185837607,2.94953984083505,0.932,0.939,0.938,0.954,0.00204752699829941,0.0474328308685381,0.0463705720301846,0.97901624409944,0.00502839349240602,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster_delta",0.97252,0.207169122805355,0.985,0.322349014360044,3.04978527536252,0.958,0.976,0.972,0.969,0.00204752699829941,0.0474328308685381,0.0528502371572842,1.11931463702385,0.00502839349240602,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","mgcv_sandwich_freq",0.94592,0.182482407087145,0.927,0.274903808053631,2.95272881634726,0.932,0.943,0.943,0.954,0.00204752699829941,0.0474328308685381,0.046552489873932,0.983362452013519,0.00502839349240602,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","mgcv_sandwich_default",0.973440000000001,0.207711490086118,0.987000000000001,0.323173585551022,3.049522780213,0.959,0.979,0.972,0.971,0.00204752699829941,0.0474328308685381,0.0529885986999047,1.12268362691034,0.00502839349240602,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_re","classic_cluster",0.99694,0.301929396086823,1,0.489150317936676,3.17529935094751,0.986,0.998,0.999,0.999,0.0135968700281371,0.0470542977422007,0.0770242204623154,1.64012389940802,0.0246710950826629,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_re","penalty_cluster",0.929099999999999,0.17820865444864,0.907,0.268603975539296,2.95429918865136,0.902,0.922,0.933,0.927,0.0135968700281371,0.0470542977422007,0.0454622268200659,0.96796865503524,0.0246710950826629,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_re","penalty_cluster_delta",0.963100000000001,0.205558884088822,0.98,0.320039154155203,3.05161346623077,0.938,0.962,0.968,0.966,0.0135968700281371,0.0470542977422007,0.0524394544262661,1.11956598067475,0.0246710950826629,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_re","mgcv_sandwich_freq",0.932539999999999,0.178906023844619,0.910000000000002,0.269900624568438,2.9568887127357,0.909,0.934,0.941,0.929,0.0135968700281371,0.0470542977422007,0.0456401304452037,0.972192905166333,0.0246710950826629,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_re","mgcv_sandwich_default",0.96436,0.206076060161365,0.986,0.320810507623528,3.05122429867055,0.94,0.961,0.971,0.968,0.0135968700281371,0.0470542977422007,0.0525713895221716,1.12275970096639,0.0246710950826629,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
