"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
3,"bam_re","mgcv_sandwich_freq",1.00589591497146,0.000699949067530687,0.0264565505599405,0.222852747114616,0,1,3.14602373182303e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","mgcv_sandwich_default",1.00589591497146,0.00070309509126251,0.0265159403239355,0.222353606903291,0,1,3.14602373182303e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","classic_cluster",1.00403559695697,0.000544546961408474,0.0233355300220174,0.172937874269837,0,1,8.2382580298394e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","penalty_cluster",1.00403559695697,0.000542007218362951,0.0232810484807483,0.173342577775429,0,1,8.2382580298394e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","penalty_cluster_delta",1.00403559695697,0.000542831044165935,0.0232987348189968,0.173210991425903,0,1,8.2382580298394e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","mgcv_sandwich_freq",1.00403559695697,0.000445059994398392,0.0210964450654226,0.191292748349439,0,1,8.2382580298394e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","mgcv_sandwich_default",1.00403559695697,0.000445883820201376,0.0211159612663354,0.191115948076751,0,1,8.2382580298394e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","classic_cluster",0.944205641261457,0.000921781149284532,0.0303608489552669,-1.83770746400239,0,1,1.40490916071664e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","penalty_cluster",0.944205641261457,0.000887710946781288,0.029794478461307,-1.87264089253991,0,1,1.40490916071664e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","penalty_cluster_delta",0.944205641261457,0.000889115855942005,0.0298180458102473,-1.87116080958494,0,1,1.40490916071664e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","mgcv_sandwich_freq",0.944205641261457,0.000807859216650829,0.0284228643287553,-1.96300971264519,1,0,1.40490916071664e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","mgcv_sandwich_default",0.944205641261457,0.000809264125811545,0.0284475680122492,-1.96130504774674,1,0,1.40490916071664e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","classic_cluster",0.943897478145169,0.000922309030674089,0.0303695411666704,-1.84732859633725,0,1,3.30365404361762e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","penalty_cluster",0.943897478145169,0.000881701626744879,0.0296934610098735,-1.88938978302922,0,1,3.30365404361762e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","penalty_cluster_delta",0.943897478145169,0.000885005280788497,0.0297490383170363,-1.88586001526991,0,1,3.30365404361762e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_freq",0.943897478145169,0.000808589138940593,0.0284357018366101,-1.97296068784211,1,0,3.30365404361762e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_default",0.943897478145169,0.00081189279298421,0.0284937325211038,-1.96894253195081,1,0,3.30365404361762e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","classic_cluster",0.965862183516357,0.000703679775083469,0.0265269631711485,-1.2869100870458,0,1,1.17777727488692e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","penalty_cluster",0.965862183516357,0.000687041410622464,0.0262114747891542,-1.30239968404101,0,1,1.17777727488692e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
