"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"pl","bam_fe","penalty_cluster",0.454081632653061,0.946,0.28275883329467,0.0445382386326403,0.0457468927373337,0.284527586631033,-0.00176875333636256,0.973579536611739,0.00176875333636256,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.472448979591837,0.937,0.170229186765081,0.0445906720605809,0.0461831603638059,0.17224488860532,-0.00201570184023839,0.965517987710665,0.00201570184023839,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.490816326530612,0.941,0.0558192994419168,0.0447378074739244,0.0466608760521207,0.0576707063353748,-0.00185140689345802,0.958786273621435,0.00185140689345802,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.509183673469388,0.942,-0.0587977763678355,0.0449952271295591,0.0470746901313382,-0.0576707063353744,-0.0011270700324611,0.955826305048903,0.0011270700324611,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.527551020408163,0.942,-0.172246945103178,0.0453456404972136,0.0473713343826389,-0.172244888605319,-2.05649785961493e-06,0.957237981327211,2.05649785961493e-06,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.545918367346939,0.946,-0.28330966325911,0.0457618549993187,0.0475965295765582,-0.284527586631032,0.00121792337192211,0.961453606101924,0.00121792337192211,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.564285714285714,0.94,-0.390724731897316,0.0462586510119722,0.0479084959082416,-0.393025031653923,0.00230029975660745,0.965562582064165,0.00230029975660745,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.58265306122449,0.942,-0.49315833622421,0.0468741415893959,0.0484786242179978,-0.49629381256425,0.00313547634004008,0.96690329697916,0.00313547634004008,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.601020408163265,0.943,-0.58926772544917,0.0476400352988147,0.0493409875314529,-0.592960078525026,0.00369235307585536,0.965526587169462,0.00369235307585536,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.619387755102041,0.936,-0.677741195037684,0.0485373354658428,0.0503081971335917,-0.681737816190999,0.00399662115331489,0.96479973903564,0.00399662115331489,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fe","penalty_cluster",0.637755102040816,0.935,-0.757293007233963,0.0495136339703719,0.0512356529665627,-0.761445958369134,0.00415295113517089,0.966390220549847,0.00415295113517089,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
