"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp","sample","error_label"
"np","bam_fd","classic_cluster",0.78469387755102,0.993,-0.977347186571138,0.0776680304100061,0.0493395412045526,-0.976334538411204,-0.00101264815993418,1.57415388375844,0.00101264815993418,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.803061224489796,0.994,-0.945330827545267,0.0792065755857566,0.0503233764991771,-0.944937256395429,-0.000393571149837513,1.57395193041253,0.000393571149837513,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.821428571428571,0.995,-0.90058076618297,0.0844242475295534,0.0520788495594453,-0.900968867902419,0.000388101719449141,1.62108510928582,0.000388101719449141,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.839795918367347,0.994,-0.843815995443382,0.0843688153965628,0.0547418434405712,-0.845014312609002,0.00119831716561947,1.54121253677098,0.00119831716561947,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.858163265306122,0.995,-0.775727056254633,0.0862400048754855,0.0579902825726855,-0.777817989857798,0.00209093360316481,1.48714579494231,0.00209093360316481,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.876530612244898,0.996,-0.69712481386008,0.0930211454198588,0.0612274366348609,-0.700273855435255,0.00314904157517559,1.51927225003072,0.00314904157517559,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.894897959183673,0.989,-0.609210537294876,0.0913843786181639,0.0639243117078908,-0.613413528704367,0.00420299140949043,1.42957156951106,0.00420299140949043,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.913265306122449,0.99,-0.513696507125041,0.0900265897769005,0.0656917720849313,-0.518392568310526,0.0046960611854846,1.37043935518298,0.0046960611854846,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.931632653061224,0.992,-0.412640082630766,0.103979333061887,0.0663761560107328,-0.4164750990436,0.00383501641283385,1.56651634127584,0.00383501641283385,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.95,0.996,-0.308067974565002,0.112116803312841,0.0672081727474517,-0.309016994374948,0.00094901980994605,1.66820192737783,0.00094901980994605,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.05,0.962,0.306921511643777,0.0596564358874314,0.0577203143865201,0.309016994374947,-0.00209548273117072,1.03354315584538,0.00209548273117072,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.0683673469387755,0.964,0.412014796177264,0.0599310054537494,0.0569203740056603,0.416475099043599,-0.00446030286633481,1.05289198289157,0.00446030286633481,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.086734693877551,0.957,0.513080804134952,0.0577250793323096,0.0557713735843507,0.518392568310525,-0.00531176417557278,1.03503061915813,0.00531176417557278,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.105102040816327,0.96,0.608178834588861,0.0553527095756445,0.0536692145531795,0.613413528704367,-0.00523469411550603,1.03136798323733,0.00523469411550603,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.123469387755102,0.957,0.695486634464038,0.0534081586139043,0.0511598650534972,0.700273855435255,-0.00478722097121675,1.04394643258062,0.00478722097121675,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.141836734693878,0.957,0.773529082672975,0.0514004312943813,0.0488186479174296,0.777817989857797,-0.00428890718482233,1.05288518808055,0.00428890718482233,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.160204081632653,0.961,0.841231353868088,0.0498960232884308,0.0469043808879674,0.845014312609001,-0.00378295874091361,1.06378172664956,0.00378295874091361,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.178571428571429,0.965,0.897813166216522,0.0488451428735036,0.0454967305989639,0.900968867902419,-0.00315570168589707,1.07359676685462,0.00315570168589707,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.196938775510204,0.963,0.942601628200255,0.0477034839403225,0.0445639752636946,0.944937256395429,-0.00233562819517397,1.07044947534529,0.00233562819517397,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","mgcv_sandwich_default",0.21530612244898,0.968,0.974912178841447,0.0467998879120492,0.0439088032212685,0.976334538411204,-0.00142235956975723,1.06584293988182,0.00142235956975723,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
