"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null","sample","error_label"
"bam_fe","penalty_cluster_delta",1000,0.484,0.946,1.07493765611579,0.038019093997837,0.0385770232231325,1.01467497424655,4.72427460941486e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_freq",1000,0.497,0.946,1.07493765611579,0.038019093997837,0.0380452374764571,1.00068764075813,4.72427460941486e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_default",1000,0.497,0.946,1.07493765611579,0.038019093997837,0.0381073036025563,1.0023201395784,4.72427460941486e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_re","classic_cluster",1000,0.525,0.954,1.07870797516419,0.0378108127890634,0.0391382864448804,1.03510830785952,1.75702272629181e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_re","penalty_cluster",1000,0.545,0.949,1.07870797516419,0.0378108127890634,0.0381364560854038,1.00861243840901,1.75702272629181e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_re","penalty_cluster_delta",1000,0.538,0.949,1.07870797516419,0.0378108127890634,0.0383659654974625,1.0146823796541,1.75702272629181e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_re","mgcv_sandwich_freq",1000,0.549,0.944,1.07870797516419,0.0378108127890634,0.0377137986535766,0.997434222426583,1.75702272629181e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_re","mgcv_sandwich_default",1000,0.542,0.945,1.07870797516419,0.0378108127890634,0.0379453868709158,1.00355914279344,1.75702272629181e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fd","classic_cluster",1000,0.279,0.947,1.07598937629723,0.0530632529229647,0.0545326116830036,1.02769070268218,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","penalty_cluster",1000,0.296,0.944,1.07598937629723,0.0530632529229647,0.0534563285880135,1.00740768127464,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","penalty_cluster_delta",1000,0.295,0.946,1.07598937629723,0.0530632529229647,0.0535421107165474,1.00902428266654,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","mgcv_sandwich_freq",1000,0.383,0.908,1.07598937629723,0.0530632529229647,0.0463935508483434,0.874306573622539,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","mgcv_sandwich_default",1000,0.382,0.908,1.07598937629723,0.0530632529229647,0.0464921029403224,0.876163830510315,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","classic_cluster",1000,0.338,0.95,1.0753357353757,0.0459137365497557,0.0475838145876493,1.036374256669,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","penalty_cluster",1000,0.354,0.95,1.0753357353757,0.0459137365497557,0.046781492122367,1.01889969403102,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","penalty_cluster_delta",1000,0.353,0.95,1.0753357353757,0.0459137365497557,0.0468545072048269,1.02048996064722,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_freq",1000,0.353,0.952,1.0753357353757,0.0459137365497557,0.0466038645658511,1.01503097042314,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_default",1000,0.352,0.952,1.0753357353757,0.0459137365497557,0.0466769795728498,1.01662341339322,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","classic_cluster",1000,0.397,0.958,1.0811735817846,0.0454461420605384,0.0476092182487828,1.04759647552399,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","penalty_cluster",1000,0.426,0.95,1.0811735817846,0.0454461420605384,0.0460708977709713,1.01374716713248,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","penalty_cluster_delta",1000,0.419,0.955,1.0811735817846,0.0454461420605384,0.046469122710989,1.02250973578985,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_freq",1000,0.421,0.952,1.0811735817846,0.0454461420605384,0.0459666956215565,1.01145429595156,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_default",1000,0.414,0.955,1.0811735817846,0.0454461420605384,0.0463649244926125,1.02021695110776,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","classic_cluster",1000,0.056,0.944,0.999438655470849,0.0258411581264479,0.0251888919909806,0.974758633793597,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster",1000,0.058,0.942,0.999438655470849,0.0258411581264479,0.025015357103978,0.968043188373023,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster_delta",1000,0.058,0.942,0.999438655470849,0.0258411581264479,0.0250371792830874,0.968887662099879,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_freq",1000,0.087,0.913,0.999438655470849,0.0258411581264479,0.0220906489995347,0.854862962853253,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_default",1000,0.087,0.913,0.999438655470849,0.0258411581264479,0.0221152880650925,0.855816444327935,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","classic_cluster",1000,0.059,0.941,0.999184851490905,0.0286538167910109,0.0279714386400261,0.97618543609873,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","penalty_cluster",1000,0.062,0.938,0.999184851490905,0.0286538167910109,0.0278002537116009,0.970211190863836,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","penalty_cluster_delta",1000,0.062,0.938,0.999184851490905,0.0286538167910109,0.0278205898507048,0.970920909197429,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_freq",1000,0.068,0.932,0.999184851490905,0.0286538167910109,0.0274125918640205,0.956682038695111,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_default",1000,0.068,0.932,0.999184851490905,0.0286538167910109,0.0274331413000698,0.95739920095657,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","classic_cluster",1000,0.052,0.948,1.00124651863812,0.0286421747372263,0.0279747292844623,0.976697109807918,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","penalty_cluster",1000,0.056,0.944,1.00124651863812,0.0286421747372263,0.0277107630369724,0.967481111025996,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","penalty_cluster_delta",1000,0.056,0.944,1.00124651863812,0.0286421747372263,0.0277689627087482,0.969513068176937,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","mgcv_sandwich_freq",1000,0.064,0.936,1.00124651863812,0.0286421747372263,0.0273384497668677,0.954482333051892,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","mgcv_sandwich_default",1000,0.064,0.936,1.00124651863812,0.0286421747372263,0.0273972683587004,0.956535898899189,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","classic_cluster",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.0365072256650614,0.997253852208289,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fd","penalty_cluster",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.036233776591565,0.989784148965731,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fd","penalty_cluster_delta",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.0362617155718001,0.990547347350672,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fd","mgcv_sandwich_freq",1000,0.102,0.898,0.999554229543178,0.036607755973287,0.030277138245507,0.827068948656686,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fd","mgcv_sandwich_default",1000,0.102,0.898,0.999554229543178,0.036607755973287,0.030310464831805,0.827979318205761,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fe","classic_cluster",1000,0.054,0.946,0.999370725005652,0.0310977026302573,0.0308945731393334,0.993468022595139,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fe","penalty_cluster",1000,0.058,0.942,0.999370725005652,0.0310977026302573,0.0306923151476721,0.986964069744792,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fe","penalty_cluster_delta",1000,0.058,0.942,0.999370725005652,0.0310977026302573,0.0307150255202491,0.987694360752041,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_freq",1000,0.055,0.945,0.999370725005652,0.0310977026302573,0.0306473938392867,0.985519547976755,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_default",1000,0.054,0.946,0.999370725005652,0.0310977026302573,0.0306700655650675,0.986248596229943,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_re","classic_cluster",1000,0.058,0.942,1.00202597265725,0.0310889095875648,0.030899120860256,0.993895291606345,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_re","penalty_cluster",1000,0.06,0.94,1.00202597265725,0.0310889095875648,0.0305675332756717,0.98322950792389,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_re","penalty_cluster_delta",1000,0.06,0.94,1.00202597265725,0.0310889095875648,0.0306458647917488,0.985749104690594,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_freq",1000,0.059,0.941,1.00202597265725,0.0310889095875648,0.0305374339143923,0.982261337548066,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_default",1000,0.058,0.942,1.00202597265725,0.0310889095875648,0.030615658979644,0.984777510237602,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1,"n=200, T=8","Heteroskedastic, serially independent"
"bam_fd","classic_cluster",1000,0.829,0.944,1.07443831197868,0.0258410700456116,0.0251889066800313,0.974762524755004,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster",1000,0.832,0.942,1.07443831197868,0.0258410700456116,0.0250153715500332,0.968047047040971,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster_delta",1000,0.832,0.942,1.07443831197868,0.0258410700456116,0.0250371937165708,0.968891523159765,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_freq",1000,0.878,0.913,1.07443831197868,0.0258410700456116,0.0220906548705897,0.85486610390351,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_default",1000,0.877,0.913,1.07443831197868,0.0258410700456116,0.0221152939346453,0.855819588570057,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","classic_cluster",1000,0.756,0.941,1.0741844995345,0.028653579276266,0.0279714634919992,0.976194395203124,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","penalty_cluster",1000,0.758,0.938,1.0741844995345,0.028653579276266,0.0278002771009047,0.97022004939997,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","penalty_cluster_delta",1000,0.758,0.938,1.0741844995345,0.028653579276266,0.0278206132201996,0.970929772925218,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_freq",1000,0.765,0.932,1.0741844995345,0.028653579276266,0.0274126024871351,0.956690339550047,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_fe","mgcv_sandwich_default",1000,0.765,0.932,1.0741844995345,0.028653579276266,0.0274331519159647,0.957407507504233,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
"bam_re","classic_cluster",1000,0.772,0.948,1.07624616688864,0.0286419363988265,0.0279747543688238,0.976706112997653,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1,"n=200, T=8","Heteroskedastic AR(1), rho=0.5"
