"model","method","se_type","x","point_coverage","df_correction"
"pl","bam_fd","penalty",0.343877551020408,0.95,"substantive"
"np","bam_fe","penalty",0.343877551020408,0.952,"substantive"
"pl","bam_fe","penalty",0.343877551020408,0.947,"substantive"
"np","bam_re","penalty",0.343877551020408,0.933,"substantive"
"pl","bam_re","penalty",0.343877551020408,0.927,"substantive"
"np","bam_fd","classic",0.362244897959184,0.992,"substantive"
"pl","bam_fd","classic",0.362244897959184,0.996,"substantive"
"np","bam_fe","classic",0.362244897959184,0.996,"substantive"
"pl","bam_fe","classic",0.362244897959184,0.994,"substantive"
"np","bam_re","classic",0.362244897959184,0.991,"substantive"
"pl","bam_re","classic",0.362244897959184,0.995,"substantive"
"np","bam_fd","penalty",0.362244897959184,0.947,"substantive"
"pl","bam_fd","penalty",0.362244897959184,0.957,"substantive"
"np","bam_fe","penalty",0.362244897959184,0.94,"substantive"
"pl","bam_fe","penalty",0.362244897959184,0.944,"substantive"
"np","bam_re","penalty",0.362244897959184,0.923,"substantive"
"pl","bam_re","penalty",0.362244897959184,0.939,"substantive"
"np","bam_fd","classic",0.380612244897959,0.992,"substantive"
"pl","bam_fd","classic",0.380612244897959,0.996,"substantive"
"np","bam_fe","classic",0.380612244897959,0.996,"substantive"
"pl","bam_fe","classic",0.380612244897959,0.995,"substantive"
"np","bam_re","classic",0.380612244897959,0.987,"substantive"
"pl","bam_re","classic",0.380612244897959,0.997,"substantive"
"np","bam_fd","penalty",0.380612244897959,0.937,"substantive"
"pl","bam_fd","penalty",0.380612244897959,0.949,"substantive"
"np","bam_fe","penalty",0.380612244897959,0.929,"substantive"
"pl","bam_fe","penalty",0.380612244897959,0.945,"substantive"
"np","bam_re","penalty",0.380612244897959,0.919,"substantive"
"pl","bam_re","penalty",0.380612244897959,0.941,"substantive"
"np","bam_fd","classic",0.398979591836735,0.992,"substantive"
"pl","bam_fd","classic",0.398979591836735,0.996,"substantive"
"np","bam_fe","classic",0.398979591836735,0.99,"substantive"
"pl","bam_fe","classic",0.398979591836735,0.998,"substantive"
"np","bam_re","classic",0.398979591836735,0.985,"substantive"
"pl","bam_re","classic",0.398979591836735,0.999,"substantive"
"np","bam_fd","penalty",0.398979591836735,0.943,"substantive"
"pl","bam_fd","penalty",0.398979591836735,0.941,"substantive"
"np","bam_fe","penalty",0.398979591836735,0.933,"substantive"
"pl","bam_fe","penalty",0.398979591836735,0.942,"substantive"
"np","bam_re","penalty",0.398979591836735,0.915,"substantive"
"pl","bam_re","penalty",0.398979591836735,0.937,"substantive"
"np","bam_fd","classic",0.41734693877551,0.992,"substantive"
"pl","bam_fd","classic",0.41734693877551,0.993,"substantive"
"np","bam_fe","classic",0.41734693877551,0.994,"substantive"
"pl","bam_fe","classic",0.41734693877551,0.995,"substantive"
"np","bam_re","classic",0.41734693877551,0.992,"substantive"
"pl","bam_re","classic",0.41734693877551,0.995,"substantive"
"np","bam_fd","penalty",0.41734693877551,0.942,"substantive"
"pl","bam_fd","penalty",0.41734693877551,0.946,"substantive"
"np","bam_fe","penalty",0.41734693877551,0.934,"substantive"
"pl","bam_fe","penalty",0.41734693877551,0.952,"substantive"
"np","bam_re","penalty",0.41734693877551,0.925,"substantive"
"pl","bam_re","penalty",0.41734693877551,0.943,"substantive"
"np","bam_fd","classic",0.435714285714286,0.997,"substantive"
"pl","bam_fd","classic",0.435714285714286,0.994,"substantive"
"np","bam_fe","classic",0.435714285714286,0.996,"substantive"
"pl","bam_fe","classic",0.435714285714286,0.997,"substantive"
"np","bam_re","classic",0.435714285714286,0.994,"substantive"
"pl","bam_re","classic",0.435714285714286,0.995,"substantive"
"np","bam_fd","penalty",0.435714285714286,0.941,"substantive"
"pl","bam_fd","penalty",0.435714285714286,0.944,"substantive"
"np","bam_fe","penalty",0.435714285714286,0.945,"substantive"
"pl","bam_fe","penalty",0.435714285714286,0.941,"substantive"
"np","bam_re","penalty",0.435714285714286,0.94,"substantive"
"pl","bam_re","penalty",0.435714285714286,0.934,"substantive"
"np","bam_fd","classic",0.454081632653061,0.995,"substantive"
"pl","bam_fd","classic",0.454081632653061,0.995,"substantive"
"np","bam_fe","classic",0.454081632653061,0.998,"substantive"
"pl","bam_fe","classic",0.454081632653061,0.995,"substantive"
"np","bam_re","classic",0.454081632653061,0.999,"substantive"
"pl","bam_re","classic",0.454081632653061,0.994,"substantive"
"np","bam_fd","penalty",0.454081632653061,0.958,"substantive"
"pl","bam_fd","penalty",0.454081632653061,0.948,"substantive"
"np","bam_fe","penalty",0.454081632653061,0.953,"substantive"
"pl","bam_fe","penalty",0.454081632653061,0.941,"substantive"
"np","bam_re","penalty",0.454081632653061,0.945,"substantive"
"pl","bam_re","penalty",0.454081632653061,0.938,"substantive"
"np","bam_fd","classic",0.472448979591837,0.994,"substantive"
"pl","bam_fd","classic",0.472448979591837,0.992,"substantive"
"np","bam_fe","classic",0.472448979591837,0.997,"substantive"
"pl","bam_fe","classic",0.472448979591837,0.996,"substantive"
"np","bam_re","classic",0.472448979591837,0.997,"substantive"
"pl","bam_re","classic",0.472448979591837,0.996,"substantive"
"np","bam_fd","penalty",0.472448979591837,0.964,"substantive"
"pl","bam_fd","penalty",0.472448979591837,0.947,"substantive"
"np","bam_fe","penalty",0.472448979591837,0.954,"substantive"
"pl","bam_fe","penalty",0.472448979591837,0.942,"substantive"
"np","bam_re","penalty",0.472448979591837,0.952,"substantive"
"pl","bam_re","penalty",0.472448979591837,0.943,"substantive"
"np","bam_fd","classic",0.490816326530612,0.992,"substantive"
"pl","bam_fd","classic",0.490816326530612,0.994,"substantive"
"np","bam_fe","classic",0.490816326530612,0.996,"substantive"
"pl","bam_fe","classic",0.490816326530612,0.992,"substantive"
"np","bam_re","classic",0.490816326530612,0.995,"substantive"
"pl","bam_re","classic",0.490816326530612,0.994,"substantive"
