"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","error_design","rho","df_correction"
552,"bam_fe",1.0805463776309,0.0256541377769633,3.13970316723064,1,0.0255225691476748,3.15588831064999,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
552,"bam_re",1.08332130389732,0.0256517204812405,3.24817604176914,1,0.025270495171439,3.29717733396435,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
552,"bam_fd",1.07855825356002,0.0257481777987307,3.05102186935694,1,0.0255788254855468,3.07122207798037,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
553,"bam_fe",1.06989536649989,0.0249481782800558,2.80162205493652,1,0.0247733189899671,2.82139694435773,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
553,"bam_re",1.07716688177356,0.0250089749622628,3.0855675568471,1,0.024583217896649,3.13900654088408,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
553,"bam_fd",1.04728620951555,0.0242685566469327,1.94845578183667,0,0.0241656142715876,1.95675595017434,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
554,"bam_fe",1.06967427415323,0.023987653527167,2.90458898259141,1,0.0239222977490525,2.91252432705755,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
554,"bam_re",1.07333157764736,0.0240403169467592,3.05035818827874,1,0.0237469362423662,3.08804373325998,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
554,"bam_fd",1.06906369014965,0.0204221356457931,3.38180547556369,1,0.0202941653277479,3.40313035960232,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
555,"bam_fe",1.07793844295342,0.0261802120863451,2.9769981502201,1,0.026215507410075,2.97299006020637,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
555,"bam_re",1.0806950970155,0.0262057585708671,3.07928872950884,1,0.0259554076702375,3.10898977356583,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
